	Ahctf1	Arid2	Arid3a	Arid3b	Arid5a	Atf5	Atoh8	Bach1	Bach2	Batf	Batf3	Bcl11a	Cbfb	Cdc5l	Cic	Creb5	Egr2	Elf1	Elf2	Ep300	Esr1	Fos	Fosb	Fosl2	Foxa1	Foxf1	Foxj1	Foxj2	Foxj3	Foxk1	Foxm1	Foxo1	Gfi1b	Gli1	Gtf2i	Hand1	Hey1	Hhex	Hic2	Hivep1	Hivep2	Hivep3	Hlx	Hmg20b	Hmga1	Hnf1b	Hoxa2	Hsf1	Id3	Ikzf1	Ikzf3	Ikzf4	Ikzf5	Insm1	Irf1	Irf4	Jund	Kdm2b	Klf10	Klf11	Klf13	Klf2	Klf3	Lcor	Lin54	Lyl1	Maz	Mef2a	Mef2c	Nfat5	Nfatc1	Nfatc2	Nfatc3	Nfe2l1	Nfe2l3	Nfix	Nfkb1	Nfkb2	Npas2	Nr1d1	Nr1d2	Nr1h2_Nr1h3	Nr3c1	Nr4a1	Nr4a3	Ovol1	Patz1	Pax8	Pbx2	Phf21a	Pou2f1	Pou2f2	Ppard	Pparg	Prdm4	Prkrir	Rbpj	Rel	Rela	Relb	Rfx5	Rfx7	Rorc	Rreb1	Runx1	Runx2	Runx3	Rxrb	Satb1_Satb2	Scrt1	Smad1	Smad3	Smarcc1	Snai1	Sox12	Sox7	Sp3	Spi1	Spib	Spic	Stat1	Stat2	Stat4	Stat5a	Stat5b	Tbp	Tbx21	Tcf12	Tcf3	Tcf4	Tcf7l1	Terf2	Tgif1	Trerf1	Zbtb4	Zbtb42	Zbtb6	Zbtb7a	Zeb1	Zfp1	Zfp110_Zfp369	Zfp148	Zfp281	Zfp282	Zfp523	Zfp628	Zfp652	Zkscan1	Zkscan3
Rap1b	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	-0.5	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	-0.5	0	-1.0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.5	0	0	0	0	0
Rap2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rapgef2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	1.0	0	0	0	0	1.0	0.5	0	0.5	0.5	0	0	1.0	1.0	0	0	0	0	0	0.5	1.0	0	0.5	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0
Rapgef5	0	0	0	0	-1.0	0	0	0	0	0	0	-1.0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	-0.5	0	-0.5	0	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	0	-1.0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	-0.5	0	0	0	0	0	0	0	0
Rapsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	-0.5	0	-1.0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0
Rarb	0	0	0.5	0.5	0	0.5	0	1.0	0	1.0	0.5	1.0	0	0	0	0	0	0.5	0	0.5	0.5	0.5	0.5	1.0	0.5	0	0	0.5	0.5	0.5	1.0	0.5	0	0.5	0.5	0	0	0	0	0.5	1.0	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0	1.0	1.0	0.5	0	1.0	0.5	0.5	0.5	0.5	0	0	0	0.5	0.5	1.0	0.5	0.5	0	0	0	0	0	1.0	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	1.0	0.5	1.0	0	0	0.5	0	0	1.0	1.0	1.0	1.0	1.0	0	0.5	1.0	1.0	0	0.5	0	0	0.5	0.5	0	1.0	0	0	0.5	0.5	0	0	0	0.5	0	0	0	0.5	0.5	0.5	0.5	0	0.5	0	1.0	0	0	0	0	0.5	1.0	0.5	0.5	0.5	0.5	0	0	0	0	0	0.5
Rarres2	0	0	0	0	0	-0.5	0	0	0	0	0	-1.0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	-1.0	-1.0	0	0	0	0	-0.5	0	0	0	0	0	0	-0.5	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasal3	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasd2	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasgef1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	1.0	0	0.5	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasgrf1	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0.5	0	0	0	0	0.5	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1.0	0	0	0	0	0.5	1.0	1.0	0	0	0	0	0.5	0	0.5	0	0	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0.5	0.5	0.5	0	0	0	0	0
Rassf3	0	0	-0.5	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	-0.5	0	0	0	0	0	-1.0	-0.5	0	0	0	0	0	-1.0	-1.0	0	0	0	0	0	0	0	-1.0	-0.5	0	0	0	0	-1.0	0	0	0	0	0	0	-1.0	0	0	-1.0	0	-0.5	0	-0.5	0	0	0	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0
Rassf4	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0.5	1.0	0.5	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0	1.0	1.0	1.0	0	0	0	0.5	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0.5	0
Rassf6	0	0	0	0	0	0	0	-1.0	-1.0	-1.0	0	-1.0	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	-0.5	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rassf8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rb1	0	0	0	0	0	0	0	-1.0	0	0	0	-1.0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0
Rbbp7	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	1.0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0
Rbl1	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0
Rbm45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
Rbms1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	-0.5	0	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0
Rbp4	0	0	0	0	0	0	0	0	0	-1.0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbp7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbpms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0	0.5	0.5	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0.5	0	1.0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
Rbpms2	0	0	0.5	0.5	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
Rcbtb2	0	0	0	0	0	0	0	-1.0	0	0	0	-1.0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0
Rcn3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
Rcsd1	0	0	0.5	0	0	0	0	0	0	0	0	1.0	0.5	0.5	0	0	1.0	0.5	0	0.5	0.5	0	0	0	0.5	0.5	0.5	0.5	0.5	0	1.0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	1.0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0.5	0.5	0	0	0	0.5	0	0.5	0.5	0	0	0	1.0	0	0	0.5	0	0	0	0.5	0	0	0	0	0.5	0	0	0.5	0
Rdm1	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	1.0	0	0	0.5	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
Rec8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Recql4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rel	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	1.0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	1.0	0.5	0	0	0	1.0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	1.0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	1.0	0	0.5	0	0	0	0	0	0.5	0	0
Relb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rell1	0	0	-0.5	0	0	-0.5	0	0	0	-1.0	-0.5	-1.0	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	-0.5	0	0	0	0	0	-0.5	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	-0.5	0	0	-1.0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	-1.0	0	0	-1.0	0	0	-1.0	-1.0	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	-1.0	0	-0.5	-0.5	0	0	0	0	-0.5	0	0
Rem1	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
Rem2	0	0	0	0	0	0	0	0	0	1.0	0	0	0.5	0	0.5	0	0	0.5	0	0	0	0.5	0	1.0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rerg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retn	0	0	0	0	0	0.5	0	0	0	1.0	0	1.0	0	0	0	0	1.0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	1.0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	1.0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0.5	1.0	0	0	0	0.5	0	0	1.0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0	1.0	0	0	1.0	0	0	0	0	0	1.0	0.5	0	0	0.5	0	0	0	0	0	0
